Episode,Reward,Round,Accuracy
0,6.430230438386991,50,0.9764
1,8.21619159532481,50,0.9827
2,8.328231941833042,50,0.9829
3,4.303060317777421,50,0.9859
4,-5.718418475243828,50,0.9819
5,8.207312697391906,50,0.9779
6,-5.650731356403022,50,0.9781
7,10.321305690026206,50,0.9798
8,18.21760676242463,50,0.985
9,4.234000110837791,50,0.9838
10,10.202239945914659,50,0.9846
11,2.245562545887423,50,0.9818
12,6.194791071295549,50,0.982
13,10.42829514133853,50,0.9716
14,4.2706950468241205,50,0.982
15,6.2096755516676385,50,0.9828
16,6.209613253218913,50,0.9856
17,14.22584177861397,50,0.9852
18,2.2347593177673355,50,0.9871
19,4.198932500704272,50,0.9837
20,6.241036119222764,50,0.9844
21,0.22298246513075148,50,0.9823
22,0.3027369101178703,50,0.9776
23,0.23055373132989132,50,0.9773
24,8.231312393794047,50,0.9827
25,2.3027533655068924,50,0.9805
26,2.242374544265362,50,0.976
27,2.2978822492818773,50,0.9797
28,10.24829069339032,50,0.9841
29,8.137994912302945,50,0.9808
30,0.20749992483722668,50,0.9808
31,16.232741428078693,50,0.9811
32,14.201416104738847,50,0.9817
33,14.293689972722762,50,0.9793
34,12.196058712799358,50,0.9786
35,-1.8084243516103127,50,0.9757
36,18.103304184454252,50,0.9604
37,4.292479413255083,50,0.9824
38,22.169295275187956,50,0.9668
39,22.178577199340022,50,0.967
40,4.237130100666376,50,0.9813
41,10.202917264541197,50,0.9832
42,10.38089325526859,50,0.9796
43,12.23636392797344,50,0.9799
44,12.21027276209875,50,0.9776
45,18.222572411353188,50,0.9677
46,12.18392618707342,50,0.9686
47,4.221680050260861,50,0.9808
48,10.201831197848243,50,0.9781
49,14.248856650853199,50,0.9836
50,0.2024532986628793,50,0.9742
51,10.213015725956522,50,0.9797
52,6.228730281546385,50,0.9808
53,10.238621324998675,50,0.9735
54,14.259694694756721,50,0.9811
55,6.17804900962471,50,0.9748
56,6.2332047836249,50,0.9822
57,8.202556611393234,50,0.9804
58,14.259396875540455,50,0.9706
59,16.20098835208849,50,0.965
60,14.169970922330533,50,0.9783
61,10.267244402028908,50,0.9687
62,6.2513737548351465,50,0.9722
63,20.178173807425313,50,0.9731
64,8.191566761513853,50,0.9688
65,12.412983861520207,50,0.9788
66,16.184259573937037,50,0.9756
67,0.1550830280810922,50,0.9683
68,14.202624073090686,50,0.971
69,2.099116674560044,50,0.9664
70,10.228737347106204,50,0.9773
71,14.300601097474665,50,0.9638
72,6.14598528260073,50,0.9804
73,16.184543383274512,50,0.9786
74,12.187527740083466,50,0.9732
75,14.078196685239648,50,0.9568
76,8.140620046073623,50,0.9727
77,8.16591106306367,50,0.9625
78,16.11070843715116,50,0.9633
79,8.169505363080926,50,0.9666
80,18.121174356188014,50,0.9656
81,4.145630314531163,50,0.9629
82,14.243215777648727,50,0.9661
83,10.14265071577617,50,0.9618
84,6.261573815330982,50,0.97
85,6.147205033492982,50,0.972
86,14.191094700626959,50,0.9779
87,14.226604638661707,50,0.9775
88,16.346094073180222,50,0.9799
89,8.19498070140822,50,0.9737
90,22.16381030982884,50,0.9753
91,4.155634223873291,50,0.9675
92,2.0942092632632776,50,0.9653
93,14.278355260231535,50,0.9789
94,10.195180366818267,50,0.9759
95,10.168340642489788,50,0.9689
96,12.268607882135393,50,0.9787
97,18.17312707112362,50,0.9688
98,10.206550453957703,50,0.9794
99,4.146943128645827,50,0.9684
100,10.201375087969454,50,0.9716
101,4.251287992683357,50,0.9761
102,14.221958977964189,50,0.9732
103,2.164372584877904,50,0.9661
104,8.141805706990276,50,0.9628
105,8.116826886243171,50,0.9716
106,0.1968443657307688,50,0.9707
107,18.236959467634662,50,0.9711
108,4.164909383996497,50,0.9723
109,0.1591083642666633,50,0.9732
110,-4.014375846676958,50,0.9256
111,12.357586660037326,50,0.9738
112,18.17544117108759,50,0.9826
113,10.254742258597064,50,0.9787
114,22.244830136159717,50,0.9779
115,8.207309139275669,50,0.9739
116,4.141391074719901,50,0.9666
117,8.30431444118146,50,0.9622
118,6.105884787629072,50,0.9664
119,12.386956270160612,50,0.972
120,10.14082414884042,50,0.9626
121,6.226904689935857,50,0.9753
122,6.209232956231945,50,0.9728
123,8.209320776699744,50,0.9718
124,14.226730518781666,50,0.9679
125,10.169875807764589,50,0.9698
126,6.127191263709502,50,0.9654
127,12.15423626516868,50,0.9695
128,4.197872940455924,50,0.9733
129,-1.8270978534516413,50,0.9725
130,10.289538158480878,50,0.9768
131,22.258475872448585,50,0.9683
132,10.272154492499352,50,0.9791
133,6.1760530162940315,50,0.9749
134,-7.808244716284886,50,0.978
135,6.245676937204291,50,0.9713
136,-1.664607729499127,50,0.9777
137,10.204555240096939,50,0.9702
138,6.158599820624956,50,0.9711
139,8.207395654123061,50,0.9793
140,0.13408932646226668,50,0.9678
141,8.229371209849885,50,0.9806
142,12.268324629699697,50,0.9774
143,4.376380105625531,50,0.9766
144,14.163703310973652,50,0.9795
145,2.209295451959326,50,0.9819
146,20.315871858578564,50,0.9762
147,12.193344492972674,50,0.9767
148,14.271815060870274,50,0.961
149,8.220217548507414,50,0.9728
150,4.1446145902276665,50,0.9688
151,10.223139776341098,50,0.9757
152,-9.739190722063741,50,0.9656
153,10.197858563524338,50,0.9672
154,10.25519067576258,50,0.9782
155,-11.793257355782513,50,0.9712
156,6.182661013499969,50,0.9722
157,8.110338076687698,50,0.9633
158,12.203157782683865,50,0.9736
159,12.268579344276173,50,0.9745
