Episode,Reward,Round,Accuracy
71,-8.756723347141548,50,0.9647
72,-9.50334246588824,50,0.9715
73,-9.05011404099961,50,0.9685
74,-8.770662189094383,50,0.9626
75,-9.258509959523018,50,0.9573
76,-8.915469435773884,50,0.9746
77,-10.704440353630751,50,0.9613
78,-8.822119947952705,50,0.9711
79,-9.301386291352998,50,0.9662
80,-9.6161830242898,50,0.966
81,-8.908438163937193,50,0.9668
82,-9.471886054296325,50,0.9546
83,-9.539782673380987,50,0.9586
84,-9.185845690895336,50,0.9501
85,-9.540245419886855,50,0.9722
86,-9.397867199357362,50,0.9605
87,-9.698314131984976,50,0.9725
88,-9.564908262775852,50,0.9578
89,-9.382267673027107,50,0.953
90,-9.636987411264364,50,0.9589
91,-9.551928929419645,50,0.9683
92,-9.887570078834461,50,0.9715
93,-8.614063098239711,50,0.9668
94,-8.676114283264356,50,0.9719
95,-9.716182774902123,50,0.9708
96,-9.922576995489866,50,0.9499
97,-8.549907829172454,50,0.9723
98,-9.585951795501666,50,0.9572
99,-9.775051330899714,50,0.9683
100,-9.64600935116574,50,0.9547
101,-9.38485075312046,50,0.9483
102,-9.080240403583034,50,0.9592
103,-9.812489587840176,50,0.948
104,-9.800422893601391,50,0.9659
105,-8.576322806499059,50,0.9587
106,-9.255946163345659,50,0.9698
107,-9.420429792736176,50,0.9591
108,-9.574754522007884,50,0.9615
109,-9.679535723825431,50,0.9611
110,-10.211989693346643,50,0.971
111,-9.944233411109435,50,0.9556
112,-9.275381695185981,50,0.9721
113,-9.4785853072255,50,0.9652
114,-8.745100164916074,50,0.9664
115,-9.398462995457669,50,0.9473
116,-8.886030634351707,50,0.9614
117,-8.530726573263424,50,0.9657
118,-10.274555333611296,50,0.9566
119,-9.31188876793033,50,0.9617
120,-9.233236477650918,50,0.9555
121,-9.321654086427984,50,0.9573
122,-8.983830789565737,50,0.97
123,-8.566873958645907,50,0.9704
124,-9.695125435695322,50,0.9506
125,-9.30451885752893,50,0.9579
126,-9.070463967876846,50,0.9578
127,-10.113185155329736,50,0.9621
128,-9.55529299395839,50,0.9679
129,-8.969033472873011,50,0.9469
130,-9.179004276975617,50,0.955
131,-9.707025031850376,50,0.957
132,-10.088705116836675,50,0.9687
133,-9.486560019719498,50,0.9469
134,-9.483744792209265,50,0.942
135,-9.468226563589667,50,0.9523
136,-9.234578654731974,50,0.9658
137,-9.175265345662389,50,0.9536
138,-8.827402390427135,50,0.9448
139,-9.032237912402811,50,0.9576
140,-8.720620597188919,50,0.9593
141,-8.942194576698297,50,0.9607
142,-8.667302862596324,50,0.968
143,-8.882168795874682,50,0.9709
144,-9.833497965771894,50,0.9578
145,-8.620036069130196,50,0.9658
146,-9.012566004365588,50,0.9688
147,-8.999888184520394,50,0.9677
148,-10.314992905575064,50,0.9612
149,-9.731357384409398,50,0.951
150,-9.326312656545939,50,0.9467
151,-9.339566791430531,50,0.9688
152,-8.948923592786489,50,0.9574
153,-9.295735134984465,50,0.9659
154,-9.289645994305577,50,0.9566
155,-9.522644736464285,50,0.9602
156,-8.486175687119308,50,0.9714
157,-9.247974491652727,50,0.9725
158,-8.968139486356467,50,0.9597
159,-10.06584197794387,50,0.9605
160,-8.948915225552147,50,0.9551
161,-9.403029512168924,50,0.97
162,-9.03968085823361,50,0.9543
163,-9.620811535825935,50,0.9528
164,-9.131835187714163,50,0.9686
165,-8.75490439303582,50,0.9636
166,-9.10360509023595,50,0.9686
167,-9.072084854215708,50,0.9558
168,-9.59460800182133,50,0.9681
169,-9.481193266321199,50,0.9626
170,-8.20018253604586,50,0.9664
171,-9.741198082910072,50,0.9547
172,-9.099320859280844,50,0.9611
173,-9.626870438212705,50,0.9614
174,-8.697848485890402,50,0.9476
