Episode,Reward,Round,Accuracy
0,2.8973185727241058,50,0.9655
1,6.698827989972384,50,0.9557
2,6.813181295456557,50,0.9696
3,8.91599907093514,50,0.9535
4,12.818102118655938,50,0.9658
5,10.750226638976567,50,0.9748
6,10.823991307567283,50,0.9541
7,6.804737095533012,50,0.963
8,10.645919129505653,50,0.9584
9,12.469391871420195,50,0.9683
10,4.735442241985328,50,0.9724
11,4.730990962735888,50,0.9572
12,2.7012719838727532,50,0.9616
13,0.7800685346560399,50,0.9711
14,14.78709387341211,50,0.9725
15,4.603164630492287,50,0.9675
16,6.729567038939495,50,0.966
17,6.533028770147727,50,0.9604
18,2.416379191064073,50,0.9607
19,2.8764093837681224,50,0.9633
20,8.604051822944376,50,0.945
21,10.616079622192705,50,0.9632
22,6.567820005952338,50,0.9534
23,6.545933557995484,50,0.9562
24,6.467540555467179,50,0.9752
25,0.9038959705173206,50,0.9602
26,4.780865332108538,50,0.9735
27,6.898957056970257,50,0.9615
28,12.549161228692368,50,0.9578
29,10.765227002817005,50,0.9637
30,0.7643375125508673,50,0.9551
31,8.422047310698051,50,0.9613
32,8.637832122746357,50,0.9714
33,8.690032777894883,50,0.9726
34,10.543571513805531,50,0.9614
35,4.591872688906209,50,0.953
36,7.175340565918192,50,0.9703
37,8.80678194964206,50,0.9643
38,2.48668539713708,50,0.9582
39,12.48258646573992,50,0.9606
40,6.728433628741878,50,0.9543
41,12.916052837146333,50,0.9684
42,3.1279961448365503,50,0.9554
43,10.695959236562816,50,0.9735
44,12.71268309885767,50,0.967
45,0.484328905495625,50,0.9595
46,0.6108187510061407,50,0.9637
47,0.5411133744636587,50,0.9689
48,10.40519937309595,50,0.9619
49,4.561436385012606,50,0.9728
50,4.521055027578293,50,0.973
51,8.655729704773199,50,0.9743
52,8.503105895107334,50,0.9591
53,-3.0054945734465486,50,0.9584
54,8.66753041211471,50,0.9719
55,-1.0908890073474078,50,0.968
56,8.699821296050269,50,0.9544
57,12.814861130527571,50,0.9755
58,6.759137441885491,50,0.9614
59,8.701396988076192,50,0.9671
60,6.658282350206788,50,0.9559
61,-1.389026503364519,50,0.9662
62,10.672977253154176,50,0.971
63,8.810789367235582,50,0.9618
64,4.622772087307962,50,0.9529
65,4.475256325686554,50,0.9559
66,8.594175071041136,50,0.9651
67,8.647406339597628,50,0.9676
68,-1.5208645956280293,50,0.9533
69,4.554628361880095,50,0.9671
70,10.911402954622556,50,0.9594
71,14.848327052804285,50,0.9641
72,6.555574679747803,50,0.9588
73,-1.191209904030911,50,0.9679
74,8.638238890831113,50,0.9597
75,0.7972049383203139,50,0.9522
76,4.442288546661397,50,0.9659
77,10.932145814086189,50,0.9675
78,14.678050880233245,50,0.9719
79,4.7551285822970675,50,0.9637
80,0.44670826981607914,50,0.9693
81,2.9810620684891163,50,0.9646
82,6.635452293666634,50,0.955
83,8.659095176747918,50,0.9704
84,0.589514515524117,50,0.9619
85,-3.405891173415089,50,0.9509
86,6.617986778863165,50,0.9456
87,-5.048600982725502,50,0.9685
